Last_Update,OBJECTID,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered
2020/05/09 22:32:32+00,1,Australia,-25,133,6929,97,6134
2020/05/09 22:32:32+00,2,Austria,47.5162,14.5501,15833,615,13928
2020/05/09 22:32:32+00,3,Canada,60.001,-95.001,68918,4823,31262
2020/05/09 22:32:32+00,4,China,30.5928,114.3055,83976,4637,79056
2020/05/09 22:32:32+00,5,Denmark,56,10,10517,526,8291
2020/05/09 22:32:32+00,6,Finland,61.9241,25.7482,5880,265,4000
2020/05/09 22:32:32+00,7,France,46.2276,2.2137,176782,26313,56148
2020/05/09 22:32:32+00,8,Germany,51.1657,10.4515,171324,7549,143300
2020/05/09 22:32:32+00,9,Iceland,64.9631,-19.0208,1801,10,1773
2020/05/09 22:32:32+00,10,Ireland,53.1424,-7.6921,22760,1446,17110
2020/05/09 22:32:32+00,11,Italy,41.8719,12.5674,218268,30395,103031
2020/05/09 22:32:32+00,12,Netherlands,52.3167,5.55,42581,5440,147
2020/05/09 22:32:32+00,13,Norway,60.472,8.4689,8084,219,32
2020/05/09 22:32:32+00,14,Russia,61.524,105.3188,198676,1827,31916
2020/05/09 22:32:32+00,15,Sweden,60.1282,18.6435,25921,3220,4971
2020/05/09 22:32:32+00,16,Switzerland,46.8182,8.2275,30251,1830,26100
2020/05/09 22:32:32+00,17,United Kingdom,55,-3,216525,31662,1001
2020/05/09 22:32:32+00,18,US,40,-100,1307676,78693,212534
2020/05/09 22:32:32+00,19,Afghanistan,33.93911,67.709953,4033,115,502
2020/05/09 22:32:32+00,20,Albania,41.1533,20.1683,856,31,627
2020/05/09 22:32:32+00,21,Algeria,28.0339,1.6596,5558,494,2546
2020/05/09 22:32:32+00,22,Andorra,42.5063,1.5218,754,48,545
2020/05/09 22:32:32+00,23,Angola,-11.2027,17.8739,43,2,13
2020/05/09 22:32:32+00,24,Antigua and Barbuda,17.0608,-61.7964,25,3,19
2020/05/09 22:32:32+00,25,Argentina,-38.4161,-63.6167,5611,293,1728
2020/05/09 22:32:32+00,26,Armenia,40.0691,45.0382,3175,44,1267
2020/05/09 22:32:32+00,27,Azerbaijan,40.1431,47.5769,2422,31,1620
2020/05/09 22:32:32+00,28,Bahamas,25.025885,-78.035889,92,11,31
2020/05/09 22:32:32+00,29,Bahrain,26.0275,50.55,4774,8,2055
2020/05/09 22:32:32+00,30,Bangladesh,23.685,90.3563,13770,214,2414
2020/05/09 22:32:32+00,31,Barbados,13.1939,-59.5432,83,7,53
2020/05/09 22:32:32+00,32,Belarus,53.7098,27.9534,22052,126,6050
2020/05/09 22:32:32+00,33,Belgium,50.8333,4.469936,52596,8581,13411
2020/05/09 22:32:32+00,34,Belize,17.1899,-88.4976,18,2,16
2020/05/09 22:32:32+00,35,Benin,9.3077,2.3158,284,2,62
2020/05/09 22:32:32+00,36,Bhutan,27.5142,90.4336,7,0,5
2020/05/09 22:32:32+00,37,Bolivia,-16.2902,-63.5887,2266,106,237
2020/05/09 22:32:32+00,38,Bosnia and Herzegovina,43.9159,17.6791,2090,102,1059
2020/05/09 22:32:32+00,39,Botswana,-22.3285,24.6849,23,1,12
2020/05/09 22:32:32+00,40,Brazil,-14.235,-51.9253,155939,10627,59297
2020/05/09 22:32:32+00,41,Brunei,4.5353,114.7277,141,1,132
2020/05/09 22:32:32+00,42,Bulgaria,42.7339,25.4858,1921,90,422
2020/05/09 22:32:32+00,43,Burkina Faso,12.2383,-1.5616,748,48,569
2020/05/09 22:32:32+00,44,Burma,21.9162,95.956,178,6,68
2020/05/09 22:32:32+00,45,Burundi,-3.3731,29.9189,15,1,7
2020/05/09 22:32:32+00,46,Cabo Verde,16.5388,-23.0418,236,2,56
2020/05/09 22:32:32+00,47,Cambodia,11.55,104.9167,122,0,120
2020/05/09 22:32:32+00,48,Cameroon,3.848,11.5021,2274,108,1232
2020/05/09 22:32:32+00,49,Central African Republic,6.6111,20.9394,143,0,10
2020/05/09 22:32:32+00,50,Chad,15.4542,18.7322,322,31,53
2020/05/09 22:32:32+00,51,Chile,-35.6751,-71.543,27219,304,12667
2020/05/09 22:32:32+00,52,Colombia,4.5709,-74.2973,10495,445,2569
2020/05/09 22:32:32+00,53,Comoros,-11.6455,43.3333,11,1,0
2020/05/09 22:32:32+00,54,Congo (Brazzaville),-4.2634,15.2832,274,10,33
2020/05/09 22:32:32+00,55,Congo (Kinshasa),-4.322447,15.307045,937,39,130
2020/05/09 22:32:32+00,56,Costa Rica,9.7489,-83.7534,780,6,480
2020/05/09 22:32:32+00,57,Cote d'Ivoire,7.54,-5.5471,1667,21,769
2020/05/09 22:32:32+00,58,Croatia,45.1,15.2,2176,87,1726
2020/05/09 22:32:32+00,59,Cuba,21.521757,-77.781167,1754,74,1140
2020/05/09 22:32:32+00,60,Cyprus,35.1264,33.4299,892,15,401
2020/05/09 22:32:32+00,61,Czechia,49.8175,15.473,8089,276,4446
2020/05/09 22:32:32+00,62,Diamond Princess,,,712,13,645
2020/05/09 22:32:32+00,63,Djibouti,11.8251,42.5903,1189,3,834
2020/05/09 22:32:32+00,64,Dominica,15.415,-61.371,16,0,14
2020/05/09 22:32:32+00,65,Dominican Republic,18.7357,-70.1627,9882,385,2584
2020/05/09 22:32:32+00,66,Ecuador,-1.8312,-78.1834,29071,1717,3433
2020/05/09 22:32:32+00,67,Egypt,26.820553,30.802498,8964,514,2002
2020/05/09 22:32:32+00,68,El Salvador,13.7942,-88.8965,784,17,276
2020/05/09 22:32:32+00,69,Equatorial Guinea,1.6508,10.2679,439,4,13
2020/05/09 22:32:32+00,70,Eritrea,15.1794,39.7823,39,0,37
2020/05/09 22:32:32+00,71,Estonia,58.5953,25.0136,1733,60,747
2020/05/09 22:32:32+00,72,Eswatini,-26.5225,31.4659,163,2,14
2020/05/09 22:32:32+00,73,Ethiopia,9.145,40.4897,210,5,97
2020/05/09 22:32:32+00,74,Fiji,-17.7134,178.065,18,0,14
2020/05/09 22:32:32+00,75,Gabon,-0.8037,11.6094,661,8,110
2020/05/09 22:32:32+00,76,Gambia,13.4432,-15.3101,20,1,9
2020/05/09 22:32:32+00,77,Georgia,42.3154,43.3569,626,10,297
2020/05/09 22:32:32+00,78,Ghana,7.9465,-1.0232,4263,22,378
2020/05/09 22:32:32+00,79,Greece,39.0742,21.8243,2710,151,1374
2020/05/09 22:32:32+00,80,Grenada,12.1165,-61.679,21,0,13
2020/05/09 22:32:32+00,81,Guatemala,15.7835,-90.2308,900,24,101
2020/05/09 22:32:32+00,82,Guinea,9.9456,-9.6966,2042,11,698
2020/05/09 22:32:32+00,83,Guinea-Bissau,11.8037,-15.1804,641,3,25
2020/05/09 22:32:32+00,84,Guyana,4.860416,-58.93018,94,10,35
2020/05/09 22:32:32+00,85,Haiti,18.9712,-72.2852,151,12,17
2020/05/09 22:32:32+00,86,Holy See,41.9029,12.4534,12,0,2
2020/05/09 22:32:32+00,87,Honduras,15.2,-86.2419,1771,107,192
2020/05/09 22:32:32+00,88,Hungary,47.1625,19.5033,3213,405,904
2020/05/09 22:32:32+00,89,India,20.593684,78.96288,62808,2101,19301
2020/05/09 22:32:32+00,90,Indonesia,-0.7893,113.9213,13645,959,2607
2020/05/09 22:32:32+00,91,Iran,32.427908,53.688046,106220,6589,85064
2020/05/09 22:32:32+00,92,Iraq,33.223191,43.679291,2679,107,1702
2020/05/09 22:32:32+00,93,Israel,31.046051,34.851612,16454,247,11376
2020/05/09 22:32:32+00,94,Jamaica,18.1096,-77.2975,490,9,62
2020/05/09 22:32:32+00,95,Japan,36.204824,138.252924,15575,590,5146
2020/05/09 22:32:32+00,96,Jordan,31.24,36.51,522,9,387
2020/05/09 22:32:32+00,97,Kazakhstan,48.0196,66.9237,4975,31,1776
2020/05/09 22:32:32+00,98,Kenya,-0.0236,37.9062,649,30,207
2020/05/09 22:32:32+00,99,"Korea, South",35.907757,127.766922,10840,256,9568
2020/05/09 22:32:32+00,100,Kosovo,42.602636,20.902977,861,27,562
2020/05/09 22:32:32+00,101,Kuwait,29.31166,47.481766,7623,49,2622
2020/05/09 22:32:32+00,102,Kyrgyzstan,41.20438,74.766098,931,12,658
2020/05/09 22:32:32+00,103,Laos,19.85627,102.495496,19,0,13
2020/05/09 22:32:32+00,104,Latvia,56.8796,24.6032,930,18,464
2020/05/09 22:32:32+00,105,Lebanon,33.8547,35.8623,809,26,234
2020/05/09 22:32:32+00,106,Liberia,6.428055,-9.429499,199,20,79
2020/05/09 22:32:32+00,107,Libya,26.3351,17.228331,64,3,24
2020/05/09 22:32:32+00,108,Liechtenstein,47.14,9.55,82,1,55
2020/05/09 22:32:32+00,109,Lithuania,55.1694,23.8813,1444,49,828
2020/05/09 22:32:32+00,110,Luxembourg,49.8153,6.1296,3877,101,3550
2020/05/09 22:32:32+00,111,MS Zaandam,,,9,2,0
2020/05/09 22:32:32+00,112,Madagascar,-18.766947,46.869107,193,0,101
2020/05/09 22:32:32+00,113,Malawi,-13.254308,34.301525,56,3,14
2020/05/09 22:32:32+00,114,Malaysia,4.210484,101.975766,6589,108,4929
2020/05/09 22:32:32+00,115,Maldives,3.2028,73.2207,790,3,29
2020/05/09 22:32:32+00,116,Mali,17.570692,-3.996166,692,37,298
2020/05/09 22:32:32+00,117,Malta,35.9375,14.3754,490,5,427
2020/05/09 22:32:32+00,118,Mauritania,21.0079,-10.9408,8,1,6
2020/05/09 22:32:32+00,119,Mauritius,-20.348404,57.552152,332,10,320
2020/05/09 22:32:32+00,120,Mexico,23.6345,-102.5528,31522,3160,20314
2020/05/09 22:32:32+00,121,Moldova,47.4116,28.3699,4867,161,1925
2020/05/09 22:32:32+00,122,Monaco,43.7333,7.4167,96,4,82
2020/05/09 22:32:32+00,123,Mongolia,46.8625,103.8467,42,0,14
2020/05/09 22:32:32+00,124,Montenegro,42.708678,19.37439,324,8,274
2020/05/09 22:32:32+00,125,Morocco,31.7917,-7.0926,5910,186,2461
2020/05/09 22:32:32+00,126,Mozambique,-18.665695,35.529562,87,0,34
2020/05/09 22:32:32+00,127,Namibia,-22.9576,18.4904,16,0,10
2020/05/09 22:32:32+00,128,Nepal,28.1667,84.25,109,0,31
2020/05/09 22:32:32+00,129,New Zealand,-40.9006,174.886,1492,21,1368
2020/05/09 22:32:32+00,130,Nicaragua,12.865416,-85.207229,16,5,7
2020/05/09 22:32:32+00,131,Niger,17.607789,8.081666,815,45,617
2020/05/09 22:32:32+00,132,Nigeria,9.082,8.6753,4151,128,745
2020/05/09 22:32:32+00,133,North Macedonia,41.6086,21.7453,1622,91,1112
2020/05/09 22:32:32+00,134,Oman,21.512583,55.923255,3224,17,1068
2020/05/09 22:32:32+00,135,Pakistan,30.3753,69.3451,28736,636,7809
2020/05/09 22:32:32+00,136,Panama,8.538,-80.7821,8070,231,886
2020/05/09 22:32:32+00,137,Papua New Guinea,-6.314993,143.95555,8,0,8
2020/05/09 22:32:32+00,138,Paraguay,-23.4425,-58.4438,689,10,155
2020/05/09 22:32:32+00,139,Peru,-9.19,-75.0152,65015,1814,20246
2020/05/09 22:32:32+00,140,Philippines,12.879721,121.774017,10610,704,1842
2020/05/09 22:32:32+00,141,Poland,51.9194,19.1451,15651,785,5437
2020/05/09 22:32:32+00,142,Portugal,39.3999,-8.2245,27406,1126,2499
2020/05/09 22:32:32+00,143,Qatar,25.3548,51.1839,21331,13,2449
2020/05/09 22:32:32+00,144,Romania,45.9432,24.9668,15131,939,6912
2020/05/09 22:32:32+00,145,Rwanda,-1.9403,29.8739,280,0,140
2020/05/09 22:32:32+00,146,Saint Kitts and Nevis,17.357822,-62.782998,15,0,13
2020/05/09 22:32:32+00,147,Saint Lucia,13.9094,-60.9789,18,0,17
2020/05/09 22:32:32+00,148,Saint Vincent and the Grenadines,12.9843,-61.2872,17,0,9
2020/05/09 22:32:32+00,149,San Marino,43.9424,12.4578,637,41,126
2020/05/09 22:32:32+00,150,Sao Tome and Principe,0.18636,6.613081,208,5,4
2020/05/09 22:32:32+00,151,Saudi Arabia,23.885942,45.079162,37136,239,10144
2020/05/09 22:32:32+00,152,Senegal,14.4974,-14.4524,1634,17,643
2020/05/09 22:32:32+00,153,Serbia,44.0165,21.0059,9943,209,2453
2020/05/09 22:32:32+00,154,Seychelles,-4.6796,55.492,11,0,8
2020/05/09 22:32:32+00,155,Sierra Leone,8.460555,-11.779889,291,18,58
2020/05/09 22:32:32+00,156,Singapore,1.2833,103.8333,22460,20,2296
2020/05/09 22:32:32+00,157,Slovakia,48.669,19.699,1455,26,919
2020/05/09 22:32:32+00,158,Slovenia,46.1512,14.9955,1454,101,255
2020/05/09 22:32:32+00,159,Somalia,5.152149,46.199616,997,48,110
2020/05/09 22:32:32+00,160,South Africa,-30.5595,22.9375,9420,186,3983
2020/05/09 22:32:32+00,161,South Sudan,6.877,31.307,120,0,2
2020/05/09 22:32:32+00,162,Spain,40.463667,-3.74922,222857,26299,131148
2020/05/09 22:32:32+00,163,Sri Lanka,7.873054,80.771797,847,9,260
2020/05/09 22:32:32+00,164,Sudan,12.8628,30.2176,1111,59,102
2020/05/09 22:32:32+00,165,Suriname,3.9193,-56.0278,10,1,9
2020/05/09 22:32:32+00,166,Syria,34.802075,38.996815,47,3,29
2020/05/09 22:32:32+00,167,Taiwan*,23.7,121,440,6,361
2020/05/09 22:32:32+00,168,Tajikistan,38.861034,71.276093,612,20,0
2020/05/09 22:32:32+00,169,Tanzania,-6.369028,34.888822,509,21,183
2020/05/09 22:32:32+00,170,Thailand,15.870032,100.992541,3004,56,2787
2020/05/09 22:32:32+00,171,Timor-Leste,-8.874217,125.727539,24,0,21
2020/05/09 22:32:32+00,172,Togo,8.6195,0.8248,153,10,87
2020/05/09 22:32:32+00,173,Trinidad and Tobago,10.6918,-61.2225,116,8,104
2020/05/09 22:32:32+00,174,Tunisia,33.886917,9.537499,1030,45,638
2020/05/09 22:32:32+00,175,Turkey,38.9637,35.2433,137115,3739,89480
2020/05/09 22:32:32+00,176,Uganda,1.373333,32.290275,116,0,55
2020/05/09 22:32:32+00,177,Ukraine,48.3794,31.1656,14710,376,2909
2020/05/09 22:32:32+00,178,United Arab Emirates,23.424076,53.847818,17417,185,4295
2020/05/09 22:32:32+00,179,Uruguay,-32.5228,-55.7658,694,18,506
2020/05/09 22:32:32+00,180,Uzbekistan,41.377491,64.585262,2349,10,1846
2020/05/09 22:32:32+00,181,Venezuela,6.4238,-66.5897,388,10,190
2020/05/09 22:32:32+00,182,Vietnam,14.058324,108.277199,288,0,241
2020/05/09 22:32:32+00,183,West Bank and Gaza,31.9522,35.2332,375,2,228
2020/05/09 22:32:32+00,184,Western Sahara,24.2155,-12.8858,6,0,5
2020/05/09 22:32:32+00,185,Yemen,15.552727,48.516388,34,7,1
2020/05/09 22:32:32+00,186,Zambia,-13.133897,27.849332,252,7,112
2020/05/09 22:32:32+00,187,Zimbabwe,-19.015438,29.154857,35,4,9
